Region,Quality,Ease of Use,Price,Service
NA,4,1,3,4
NA,4,4,4,5
NA,4,5,4,3
NA,5,4,4,4
NA,5,4,5,4
NA,5,5,3,5
NA,5,4,4,2
NA,5,5,4,5
NA,4,4,4,5
NA,4,5,4,5
NA,4,5,1,4
NA,5,5,4,4
NA,5,4,3,3
NA,4,5,4,4
NA,5,4,3,5
NA,5,5,2,5
NA,5,4,2,5
NA,5,4,2,5
NA,4,5,4,4
NA,4,4,5,4
NA,4,4,2,4
NA,4,3,3,4
NA,5,5,2,5
NA,5,3,4,3
NA,5,4,4,5
NA,5,5,2,5
NA,5,5,5,3
NA,4,4,5,4
NA,5,4,4,4
NA,5,1,5,5
NA,5,4,3,5
NA,4,5,1,4
NA,4,4,3,5
NA,5,3,4,4
NA,5,5,2,4
NA,5,4,4,4
NA,5,5,4,4
NA,5,5,4,5
NA,4,3,3,5
NA,5,4,4,3
NA,5,4,3,4
NA,5,5,1,5
NA,5,4,5,4
NA,3,4,3,4
NA,5,4,2,4
NA,5,5,4,5
NA,5,5,3,4
NA,5,4,4,4
NA,5,4,4,4
NA,5,4,4,5
NA,5,4,1,4
NA,5,4,5,5
NA,5,5,3,4
NA,5,4,4,5
NA,4,3,5,5
NA,5,4,4,4
NA,5,5,5,5
NA,5,5,4,5
NA,4,4,4,4
NA,5,4,5,5
NA,4,5,5,4
NA,5,5,5,4
NA,5,5,3,5
NA,5,4,4,4
NA,5,4,5,2
NA,4,4,5,5
NA,4,4,4,5
NA,5,4,4,4
NA,5,4,3,5
NA,5,4,5,4
NA,5,5,4,5
NA,5,4,4,4
NA,5,4,5,2
NA,5,3,4,5
NA,5,4,5,5
NA,5,4,1,5
NA,4,5,3,5
NA,3,5,2,5
NA,5,5,4,4
NA,4,4,3,5
NA,3,2,4,5
NA,1,4,3,4
NA,4,5,3,5
NA,5,5,4,4
NA,4,5,5,5
NA,5,5,4,5
NA,5,5,4,4
NA,4,2,4,5
NA,5,4,5,4
NA,5,4,5,4
NA,5,5,4,3
NA,5,5,5,5
NA,4,5,5,3
NA,5,5,4,5
NA,4,4,5,5
NA,5,5,3,4
NA,4,5,2,4
NA,5,5,5,4
NA,4,5,4,3
NA,4,5,5,4
SA,5,4,3,5
SA,5,4,2,4
SA,5,4,5,5
SA,4,2,4,5
SA,5,4,4,5
SA,4,5,2,5
SA,5,4,4,4
SA,4,5,3,5
SA,4,4,4,3
SA,4,4,2,4
SA,5,4,3,4
SA,3,3,5,5
SA,5,4,3,4
SA,5,4,2,5
SA,4,4,3,4
SA,4,4,3,5
SA,1,5,3,4
SA,5,4,2,4
SA,4,4,4,4
SA,4,4,5,5
SA,5,4,2,4
SA,4,4,5,5
SA,4,4,4,3
SA,3,3,4,5
SA,5,4,4,4
SA,4,4,4,1
SA,4,5,5,5
SA,4,1,4,5
SA,4,5,4,4
SA,4,4,4,5
SA,5,4,3,4
SA,4,4,4,5
SA,5,5,4,3
SA,5,5,4,4
SA,4,4,2,4
SA,4,4,4,5
SA,5,4,4,5
SA,5,4,4,4
SA,5,4,1,4
SA,3,4,4,5
SA,4,3,5,4
SA,4,4,2,3
SA,5,4,3,3
SA,4,3,4,5
SA,5,3,5,5
SA,5,4,4,4
SA,5,4,4,4
SA,3,4,3,4
SA,4,4,1,4
SA,4,3,4,3
Eur,4,5,5,3
Eur,4,4,4,2
Eur,3,4,5,4
Eur,3,4,1,3
Eur,4,4,5,5
Eur,5,5,5,5
Eur,5,5,5,1
Eur,4,5,5,4
Eur,3,4,4,4
Eur,3,5,3,3
Eur,4,4,5,4
Eur,5,4,5,5
Eur,5,3,4,4
Eur,5,5,4,5
Eur,3,4,4,4
Eur,4,5,4,5
Eur,4,5,4,4
Eur,5,4,4,5
Eur,4,5,4,4
Eur,3,5,3,4
Eur,4,4,4,2
Eur,5,5,3,4
Eur,5,3,4,5
Eur,4,5,2,4
Eur,4,3,4,4
Eur,5,4,3,3
Eur,2,4,4,4
Eur,5,4,5,4
Eur,4,5,4,3
Eur,5,4,1,5
Pac,5,4,4,5
Pac,5,5,5,5
Pac,4,4,4,4
Pac,4,3,4,4
Pac,5,4,5,4
Pac,4,4,4,4
Pac,5,5,4,5
Pac,4,2,3,3
Pac,3,4,4,4
Pac,5,4,4,5
China,5,5,4,4
China,5,5,4,3
China,4,4,3,3
China,4,4,3,3
China,4,4,3,2
China,4,4,3,3
China,4,4,3,2
China,3,4,3,3
China,3,4,2,2
China,2,3,2,1
