YearsPLE,YrsEducation,College GPA,Age,Gender,College Grad,Local
10,18,3.01,33,F,Y,Y
10,16,2.78,25,M,Y,Y
10,18,3.15,26,M,Y,N
10,18,3.86,24,F,Y,Y
9.6,16,2.58,25,F,Y,Y
8.5,16,2.96,23,M,Y,Y
8.4,17,3.56,35,M,Y,Y
8.4,16,2.64,23,M,Y,Y
8.2,18,3.43,32,F,Y,Y
7.9,15,2.75,34,M,N,Y
7.6,13,2.95,28,M,N,Y
7.5,13,2.50,23,M,N,Y
7.5,16,2.86,24,M,Y,Y
7.2,15,2.38,23,F,N,Y
6.8,16,3.47,27,F,Y,Y
6.5,16,3.10,26,M,Y,Y
6.3,13,2.98,21,M,N,Y
6.2,16,2.71,23,M,Y,N
5.9,13,2.95,20,F,N,Y
5.8,18,3.36,25,M,Y,Y
5.4,16,2.75,24,M,Y,N
5.1,17,2.48,32,M,Y,N
4.8,14,2.76,28,M,N,Y
4.7,16,3.12,25,F,Y,N
4.5,13,2.96,23,M,N,Y
4.3,16,2.80,25,M,Y,N
4,17,3.57,24,M,Y,Y
3.9,16,3.00,26,F,Y,N
3.7,16,2.86,23,M,Y,N
3.7,15,3.19,24,M,N,N
3.7,16,3.50,23,F,Y,N
3.5,14,2.84,21,M,N,Y
3.4,16,3.13,24,M,Y,N
2.5,13,1.75,22,M,N,N
1.8,16,2.98,25,M,Y,N
1.5,15,2.13,22,M,N,N
0.9,16,2.79,23,F,Y,Y
0.8,18,3.15,26,M,Y,N
0.7,13,1.84,22,F,N,N
0.3,18,3.79,24,F,Y,N
