Month,NA,SA,Eur,Pac,World
Jan-10,60000,571,13091,1045,74662
Feb-10,77184,611,17679,1111,96585
Mar-10,77885,658,22759,1068,102369
Apr-10,86190,778,27966,1237,116171
May-10,96117,886,27895,1313,126210
Jun-10,97143,882,30566,1176,129768
Jul-10,84757,848,29444,1359,116409
Aug-10,79804,735,28364,1238,110141
Sep-10,64800,657,28393,1215,95065
Oct-10,59307,595,24444,1154,85500
Nov-10,52157,553,18000,1262,71972
Dec-10,45049,462,12453,1386,59349
Jan-11,58627,553,12778,1443,73401
Feb-11,76200,615,18214,1515,96545
Mar-11,82871,658,23889,1373,108791
Apr-11,84904,784,29455,1442,116584
May-11,93100,846,29464,1215,124625
Jun-11,93000,838,27414,1333,122585
Jul-11,83048,763,27368,1415,112594
Aug-11,74854,694,27321,1296,104164
Sep-11,60769,625,29444,1402,92241
Oct-11,55619,610,23774,1468,81470
Nov-11,48155,571,17308,1351,67386
Dec-11,42647,512,12941,1389,57489
Jan-12,57885,537,10962,1509,70892
Feb-12,77647,595,15273,1402,94917
Mar-12,81845,659,20556,1524,104583
Apr-12,86095,756,26786,1574,115211
May-12,91776,878,24828,1468,118949
Jun-12,100680,825,24737,1560,127801
Jul-12,86190,756,24828,1441,113216
Aug-12,71887,714,25179,1545,99325
Sep-12,60000,651,24545,1667,86863
Oct-12,55566,643,19286,1698,77193
Nov-12,50857,619,15273,1810,68558
Dec-12,42596,548,9107,1731,53982
Jan-13,58095,581,8571,1887,69135
Feb-13,75566,614,13158,1845,91182
Mar-13,80286,622,19655,1923,102486
Apr-13,85140,727,25179,1981,113027
May-13,90093,826,23103,1810,115832
Jun-13,95472,783,24286,1942,122482
Jul-13,87308,681,24737,1961,114686
Aug-13,74476,646,26607,2000,103729
Sep-13,61698,625,22982,2075,87381
Oct-13,57238,617,16897,2019,76771
Nov-13,50673,587,13750,2095,67105
Dec-13,51238,591,7818,2150,61797
Jan-14,59712,563,7547,1852,69673
Feb-14,77961,571,13889,1743,94165
Mar-14,83725,625,18302,1892,104544
Apr-14,90297,723,25192,2037,118250
May-14,91143,848,24706,1887,118583
Jun-14,99320,792,25306,1944,127363
Jul-14,93922,745,27083,2170,123919
Aug-14,73143,739,26042,2037,101961
Sep-14,66699,667,26304,2018,95688
Oct-14,56476,660,22558,2072,81766
Nov-14,51068,625,14773,2182,68648
Dec-14,46893,608,6977,2035,56510
