Month,Number of deliveries,Number On Time,Percent
Jan-10,1086,1069,98.4%
Feb-10,1101,1080,98.1%
Mar-10,1116,1089,97.6%
Apr-10,1216,1199,98.6%
May-10,1183,1168,98.7%
Jun-10,1176,1160,98.6%
Jul-10,1198,1181,98.6%
Aug-10,1205,1189,98.7%
Sep-10,1223,1210,98.9%
Oct-10,1209,1194,98.8%
Nov-10,1198,1180,98.5%
Dec-10,1243,1223,98.4%
Jan-11,1220,1201,98.4%
Feb-11,1241,1224,98.6%
Mar-11,1237,1217,98.4%
Apr-11,1258,1242,98.7%
May-11,1262,1246,98.7%
Jun-11,1227,1212,98.8%
Jul-11,1243,1227,98.7%
Aug-11,1281,1264,98.7%
Sep-11,1272,1254,98.6%
Oct-11,1295,1278,98.7%
Nov-11,1298,1281,98.7%
Dec-11,1318,1296,98.3%
Jan-12,1281,1264,98.7%
Feb-12,1320,1304,98.8%
Mar-12,1352,1334,98.7%
Apr-12,1336,1320,98.8%
May-12,1291,1276,98.8%
Jun-12,1342,1326,98.8%
Jul-12,1352,1337,98.9%
Aug-12,1377,1360,98.8%
Sep-12,1385,1368,98.8%
Oct-12,1356,1338,98.7%
Nov-12,1362,1346,98.8%
Dec-12,1349,1333,98.8%
Jan-13,1386,1371,98.9%
Feb-13,1358,1342,98.8%
Mar-13,1371,1356,98.9%
Apr-13,1362,1348,99.0%
May-13,1350,1338,99.1%
Jun-13,1381,1366,98.9%
Jul-13,1392,1378,99.0%
Aug-13,1371,1359,99.1%
Sep-13,1402,1387,98.9%
Oct-13,1384,1370,99.0%
Nov-13,1399,1377,98.4%
Dec-13,1369,1357,99.1%
Jan-14,1401,1390,99.2%
Feb-14,1388,1376,99.1%
Mar-14,1395,1385,99.3%
Apr-14,1412,1401,99.2%
May-14,1403,1392,99.2%
Jun-14,1415,1402,99.1%
Jul-14,1426,1415,99.2%
Aug-14,1431,1420,99.2%
Sep-14,1445,1426,98.7%
Oct-14,1425,1414,99.2%
Nov-14,1413,1403,99.3%
Dec-14,1456,1427,98.0%
