Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014
4.36,4.33,3.71,4.44,2.75,3.45,1.67,2.55
5.42,4.73,2.52,4.07,3.24,1.95,2.58,2.30
5.50,1.63,2.69,5.11,4.35,2.77,3.47,1.04
2.79,4.21,3.47,3.49,5.58,1.83,3.12,1.59
5.55,6.89,5.12,4.69,2.89,3.72,1.00,3.11
3.65,0.92,1.00,6.36,5.09,4.59,5.40,4.05
8.02,5.27,3.44,8.26,2.33,1.17,3.90,3.38
4.00,0.90,6.04,1.91,1.69,1.46,4.49,1.26
3.34,3.85,2.53,8.93,3.88,1.90,2.06,0.90
4.92,5.00,2.39,6.85,3.39,2.95,4.49,2.31
3.55,3.52,3.26,5.69,5.14,4.69,3.57,2.71
3.52,5.20,4.68,3.05,0.98,3.34,3.41,1.65
1.25,5.13,3.59,5.91,2.34,3.59,3.31,3.58
2.18,5.29,1.07,1.00,2.80,4.03,2.79,2.96
4.35,1.00,2.86,1.82,3.06,2.39,2.09,3.78
2.46,2.18,4.44,3.74,2.40,1.63,4.28,2.87
2.07,4.55,4.87,6.11,1.59,2.40,4.47,0.90
2.90,2.13,6.76,4.78,3.05,4.44,1.94,4.87
2.58,5.24,2.84,4.13,1.50,4.96,3.90,3.11
5.50,4.08,1.25,7.17,5.58,4.41,3.32,0.90
2.47,4.04,3.43,5.70,3.11,3.40,2.20,3.52
4.24,5.09,2.98,1.00,1.08,3.15,3.52,3.18
1.88,7.66,4.65,3.40,3.63,4.87,2.31,0.90
4.25,4.65,2.66,2.04,1.86,3.97,1.00,1.35
5.08,0.90,4.99,4.37,1.90,3.85,5.90,1.62
4.40,2.01,3.76,2.47,6.07,2.81,1.09,1.87
1.64,1.34,3.12,3.20,1.00,1.76,4.60,1.03
6.40,8.05,2.12,5.83,1.00,5.58,3.52,2.31
3.68,4.91,4.32,3.94,1.19,4.92,4.14,1.99
3.92,5.06,3.61,2.47,3.79,2.63,4.13,3.97
4.13,3.26,4.02,3.89,5.86,3.27,2.43,1.00
3.34,4.26,2.63,6.88,0.90,2.86,2.34,3.51
3.28,1.70,4.47,1.71,2.24,3.83,2.53,2.41
3.24,2.30,4.18,6.39,0.90,1.79,4.14,2.47
3.25,5.35,4.73,6.57,3.87,2.70,2.65,4.02
5.20,2.33,2.65,4.18,2.46,3.61,3.21,2.03
5.28,3.67,2.36,8.82,3.84,0.90,3.85,3.62
4.33,4.73,3.64,3.35,2.43,3.38,2.20,4.12
4.64,1.05,5.62,5.50,1.54,4.38,4.57,1.40
2.65,2.67,0.90,6.51,0.90,2.87,2.99,2.49
3.42,4.16,6.40,0.90,3.69,2.11,4.19,2.67
3.97,0.90,3.21,2.87,1.73,2.86,3.03,4.33
1.26,3.51,3.55,7.45,3.52,3.12,1.90,1.95
6.16,5.95,5.93,3.49,2.23,1.86,2.09,2.70
6.40,2.05,5.52,3.03,5.35,2.41,1.03,1.76
1.00,8.21,4.96,7.46,5.11,2.98,2.95,2.64
3.63,2.52,4.85,4.84,6.46,0.90,7.42,4.49
5.34,3.99,5.57,2.88,5.61,1.01,3.79,1.62
3.74,2.59,4.82,0.95,3.63,4.56,2.48,1.10
5.63,1.34,3.18,3.05,3.87,5.67,2.71,4.50
