Month,NA,SA,Eur,Pac,China,World
Jan-10,570,250,560,212,0,1592
Feb-10,611,270,600,230,0,1711
Mar-10,630,260,680,240,0,1810
Apr-10,684,270,650,263,0,1867
May-10,650,280,580,269,0,1779
Jun-10,600,270,590,280,0,1740
Jul-10,512,264,760,290,0,1826
Aug-10,500,280,645,270,0,1695
Sep-10,478,290,650,263,0,1681
Oct-10,455,280,670,258,0,1663
Nov-10,407,290,888,240,0,1825
Dec-10,360,280,850,230,0,1720
Jan-11,571,320,620,250,0,1761
Feb-11,650,350,760,275,0,2035
Mar-11,740,390,742,270,0,2142
Apr-11,840,440,780,280,0,2340
May-11,830,470,690,290,0,2280
Jun-11,760,490,721,300,0,2271
Jul-11,681,481,680,312,0,2154
Aug-11,670,460,711,305,0,2146
Sep-11,640,460,695,290,0,2085
Oct-11,620,440,650,260,0,1970
Nov-11,570,436,680,250,0,1936
Dec-11,533,420,657,240,0,1850
Jan-12,620,510,610,250,10,2000
Feb-12,792,590,680,250,12,2324
Mar-12,890,610,730,260,20,2510
Apr-12,960,600,820,270,22,2672
May-12,1040,620,810,290,20,2780
Jun-12,1032,640,807,310,24,2813
Jul-12,1006,590,760,340,20,2716
Aug-12,910,600,720,320,31,2581
Sep-12,803,670,660,313,30,2476
Oct-12,730,630,630,290,37,2317
Nov-12,699,710,603,280,32,2324
Dec-12,647,570,570,260,33,2080
Jan-13,730,650,500,287,35,2202
Feb-13,930,680,590,290,50,2540
Mar-13,1160,724,620,300,63,2867
Apr-13,1510,730,730,310,68,3348
May-13,1650,760,740,330,70,3550
Jun-13,1490,800,720,340,82,3432
Jul-13,1460,840,670,350,80,3400
Aug-13,1390,830,610,341,90,3261
Sep-13,1360,820,599,330,100,3209
Oct-13,1340,810,560,320,102,3132
Nov-13,1240,827,550,300,110,3027
Dec-13,1103,750,520,290,114,2777
Jan-14,1250,780,480,200,111,2821
Feb-14,1550,805,523,210,121,3209
Mar-14,1820,830,560,220,123,3553
Apr-14,2010,890,570,230,120,3820
May-14,2230,930,590,253,130,4133
Jun-14,2490,980,600,270,136,4476
Jul-14,2440,1002,580,280,134,4436
Aug-14,2334,970,570,250,132,4256
Sep-14,2190,960,550,230,137,4067
Oct-14,2080,930,530,220,130,3890
Nov-14,2050,920,517,190,139,3816
Dec-14,2004,902,490,190,131,3717
